Time	Yaw	Pitch	Roll
62804.0	366.17	-1635.38	1925.88
62859.0	-72.75	-510.69	773.07
62914.0	42.68	-532.03	833.69
62969.0	204.66	99.91	1046.12
63024.0	135.8	1014.11	954.45
63078.0	-435.52	1513.16	1032.05
63133.0	-1367.66	2692.16	-1974.38
63189.0	430.18	516.51	1080.07
63244.0	260.92	202.24	974.82
63298.0	73.72	-55.77	1114.02
63353.0	-132.4	-74.2	1076.19
63408.0	-427.76	151.8	1099.95
63462.0	-369.08	250.25	1019.44
63517.0	-467.53	295.36	1011.68
63572.0	22.31	432.12	904.5
63627.0	551.43	327.37	912.26
63682.0	308.94	512.15	947.67
63737.0	625.63	380.72	952.03
63791.0	234.73	540.28	1518.98
63846.0	-167.32	-207.09	3889.6
63901.0	262.86	-605.75	2043.25
63956.0	165.38	-525.24	538.82
64011.0	339.01	-122.22	363.26
64065.0	133.37	575.19	670.25
64121.0	37.83	1066.49	1015.56
64175.0	-946.21	1459.33	-963.18
64230.0	-572.28	1205.19	4851.81
64285.0	899.65	265.77	1064.06
64340.0	25.7	33.46	926.33
64395.0	-305.06	-73.23	924.87
64449.0	-344.34	88.75	874.92
64504.0	-405.93	387.99	886.07
64559.0	-583.44	347.74	1029.63
64614.0	-270.14	355.01	850.18
64669.0	249.28	351.13	842.42
64724.0	503.9	1149.42	833.21
64778.0	1619.86	1197.43	1964.2
64833.0	425.33	659.1	1223.14
64889.0	-952.52	-447.64	4726.2
64943.0	-701.78	-797.32	1755.65
64998.0	-78.57	-496.14	779.86
65053.0	203.69	-552.4	429.21
65108.0	353.56	171.69	994.22
65163.0	212.42	796.83	585.38
65217.0	-254.13	1799.3	1299.28
65272.0	-291.48	2046.65	1382.21
65327.0	379.75	2349.28	1207.13
65382.0	792.95	556.28	1133.9
65437.0	-27.16	-48.98	873.46
65491.0	-35.89	-96.51	1043.69
65546.0	-399.14	289.54	848.73
65601.0	-420.97	236.19	1021.87
65656.0	-174.6	326.88	1066.49
65711.0	-21.34	160.53	821.57
65766.0	171.69	482.56	828.36
65821.0	460.25	444.25	968.52
65875.0	736.7	569.86	763.85
65930.0	1690.18	589.74	1027.69
65989.0	-5.82	340.46	1639.74
66041.0	-1486.0	-1046.6	4261.1
66095.0	-560.65	-595.08	98.45
66150.0	-112.03	-658.61	1335.17
66204.0	321.55	-298.27	618.84
66259.0	452.49	575.19	609.63
66314.0	436.97	1280.37	1048.06
66369.0	-23.76	1652.84	1127.11
66424.0	-680.92	1779.9	2191.17
66479.0	561.62	225.03	1298.31
66534.0	208.06	767.73	1015.08
66589.0	-131.43	98.45	882.19
66643.0	-29.58	6.3	1108.2
66699.0	-268.2	265.29	1022.35
66753.0	-391.38	270.62	932.15
66808.0	-436.0	303.6	1090.25
66863.0	-296.33	234.73	1049.03
66918.0	355.98	247.34	707.6
66972.0	478.68	357.44	718.75
67027.0	205.15	274.99	1103.83
67082.0	236.67	399.63	2137.34
67137.0	1484.06	-1083.46	4526.39
67192.0	369.08	-180.42	642.12
67247.0	-128.04	-202.24	986.46
67302.0	-51.41	-283.23	32.49
67356.0	-14.55	-141.62	1248.84
67411.0	51.89	441.34	360.35
67466.0	-188.66	1395.79	1059.21
67521.0	-698.38	1961.77	-82.45
67576.0	-749.31	1611.13	2178.08
67631.0	675.1	484.99	1098.5
67686.0	278.38	59.65	1133.9
67740.0	-46.07	-84.39	1288.61
67795.0	-22.79	32.49	1062.12
67850.0	-391.38	254.13	928.27
67905.0	-663.95	137.25	1126.63
67960.0	-379.75	307.97	856.0
68014.0	-200.3	348.22	1113.53
68069.0	599.44	382.65	774.52
68124.0	280.81	414.66	1102.38
68179.0	1022.84	650.85	1107.71
68234.0	866.67	5.82	1109.17
68289.0	130.95	462.19	2644.15
68344.0	-65.47	-772.1	3535.56
68398.0	-452.49	-701.78	-88.75
68454.0	78.57	-601.87	1375.42
68508.0	213.39	-330.28	769.19
68563.0	238.61	286.63	364.71
68619.0	58.2	1031.08	950.58
68673.0	-378.29	1548.08	396.23
68727.0	-630.0	2998.19	1254.18
68782.0	906.93	574.22	873.95
68837.0	415.15	140.65	1221.68
68892.0	22.79	35.4	1025.26
68947.0	-214.85	-17.94	1066.0
69002.0	-481.59	455.4	1136.33
69057.0	-472.38	424.85	1043.69
69111.0	-118.82	260.44	1007.32
69166.0	61.59	290.02	808.96
69221.0	382.17	438.91	1050.97
69276.0	1210.53	571.8	1004.41
69331.0	1243.51	294.39	976.28
69386.0	-1100.44	207.57	2068.47
69441.0	-1055.82	-1541.29	2321.15
