Time	Yaw	Pitch	Roll
172900.0	-1176.09	74.69	715.36
172908.0	-1392.4	-621.27	337.55
172916.0	-1025.26	115.91	1246.42
172924.0	-1186.76	-833.21	1260.48
172931.0	-1313.83	805.08	1696.0
172939.0	-1032.54	-749.79	2413.3
172947.0	-907.9	-144.53	783.25
172955.0	-888.01	-458.8	918.08
172963.0	-873.95	623.21	919.05
172971.0	-578.59	-242.49	1415.68
172979.0	-77.6	-283.72	1483.58
172987.0	-129.49	-160.53	948.15
172995.0	65.47	-370.53	872.01
173002.0	272.08	-688.2	1605.31
173011.0	-193.02	-512.63	935.06
173018.0	-10.67	-531.06	793.44
173026.0	177.02	-417.09	1313.83
173034.0	-297.78	-416.6	696.44
173042.0	-52.38	-498.08	879.28
173050.0	-41.22	-509.72	950.09
173058.0	-64.02	-586.83	726.03
173066.0	-133.37	-342.4	776.95
173074.0	-116.88	-373.44	821.57
173081.0	-194.96	-329.79	910.81
173089.0	-232.79	-424.36	980.16
173097.0	-220.67	-426.3	855.03
173105.0	-256.07	-460.25	882.68
173113.0	-260.44	-461.22	979.19
173121.0	-255.59	-655.7	859.4
173129.0	-247.83	-387.99	895.29
173137.0	-261.89	-427.76	936.03
173145.0	-297.78	-421.94	953.48
173153.0	-355.01	-483.05	879.28
173160.0	-522.82	-635.33	1320.14
173168.0	-473.83	-285.66	707.6
173176.0	-589.74	-551.92	963.67
173184.0	-521.85	-457.83	854.55
173192.0	-441.34	-463.65	871.04
173200.0	-339.49	-482.08	802.17
173208.0	-268.68	-487.9	800.23
173215.0	33.46	-269.65	726.03
173223.0	59.17	-459.77	579.07
173231.0	243.46	-178.48	1182.4
173239.0	28.61	-422.42	914.2
173247.0	-55.77	-735.24	1530.13
173255.0	78.57	-547.55	714.87
173263.0	23.76	-794.41	685.29
173271.0	387.99	-292.93	988.4
173279.0	37.83	-601.87	498.08
173286.0	911.29	-142.1	2720.29
173294.0	657.64	579.07	1578.63
173302.0	289.54	-72.75	1264.36
173310.0	266.74	-441.82	1122.75
173318.0	270.62	-256.07	663.95
173326.0	288.08	-522.82	889.47
173334.0	322.52	-401.57	694.5
173343.0	202.24	-534.46	925.36
173350.0	522.33	-1116.93	1226.53
173357.0	215.33	-851.64	433.09
173366.0	355.5	-799.74	1168.82
173373.0	669.77	-920.99	552.89
173381.0	646.0	-321.55	587.32
173390.0	931.18	-799.26	877.34
173397.0	1123.72	-694.5	924.39
173405.0	1319.65	-510.69	635.33
173413.0	1700.85	-347.74	1320.62
173421.0	1894.85	-672.19	942.33
173429.0	2030.64	-801.68	763.85
173436.0	1963.23	-274.99	1036.42
173444.0	1533.53	-550.95	1232.35
173452.0	1251.27	-750.28	15.03
173460.0	1072.31	-720.21	2229.0
173468.0	643.09	-609.63	1266.3
173476.0	479.17	-285.17	1686.79
173484.0	354.04	-1326.44	2264.89
173492.0	-307.0	-634.36	1253.21
173499.0	-392.84	666.86	1943.83
173507.0	-644.06	495.17	2440.94
173515.0	-1042.72	55.77	4301.84
173523.0	-1017.99	-161.5	6365.46
173531.0	-786.16	-268.68	6034.21
173539.0	-1162.51	-618.84	2424.45
173547.0	-1334.2	2099.02	3121.38
173556.0	-724.09	2246.46	4777.61
173563.0	-136.77	1194.52	5894.54
173570.0	-203.69	851.15	3316.34
173578.0	-993.74	1393.37	-831.75
173586.0	-1106.74	243.46	-2320.18
173595.0	-868.61	461.71	883.16
173602.0	-251.71	-161.5	3531.68
173610.0	-358.41	-211.94	1386.58
173618.0	-1316.74	2803.23	-2795.95
173627.0	-1143.6	2339.58	-2484.59
173634.0	-575.68	899.17	3175.7
173641.0	-677.53	485.47	5601.12
173649.0	-280.81	378.29	2033.55
173657.0	-832.72	354.04	105.24
173665.0	-1070.85	281.78	642.61
173673.0	-748.82	427.27	3161.15
173682.0	-429.21	519.91	4002.6
173689.0	-525.73	836.12	1120.81
173697.0	-626.6	742.52	-937.0
173705.0	-542.7	911.29	126.1
173712.0	-249.28	885.1	2412.81
173720.0	-134.34	810.9	1975.84
173728.0	-275.96	758.52	-687.71
173736.0	-359.86	807.99	-1700.37
173744.0	-298.27	479.17	203.21
173753.0	380.23	540.28	-953.97
173760.0	255.59	1749.83	3308.58
173768.0	-195.45	-806.05	186.72
173776.0	-496.14	526.21	-3882.32
173783.0	-653.76	122.22	-528.64
173791.0	-342.4	-241.52	1856.53
173799.0	-515.54	-927.3	2651.91
173807.0	-470.44	-1090.25	-603.81
173815.0	-792.95	-1377.85	-1192.58
173824.0	-839.03	-1460.3	2064.11
173831.0	-743.97	-1647.99	2055.86
173839.0	-916.14	-1782.81	1357.48
173847.0	-1575.24	-1857.5	-213.88
173855.0	-1313.35	-2289.14	-287.11
173862.0	-1089.28	-626.6	2006.39
173870.0	-1133.42	-1802.7	2015.12
173878.0	-1289.1	-1856.53	1299.77
173886.0	-1179.0	-1428.29	-743.0
173894.0	-1134.87	-1543.23	-853.58
173903.0	-786.16	-2043.25	-778.89
173910.0	-1322.08	-2300.29	-4207.75
173918.0	-1326.44	-1718.31	-2483.13
173925.0	-1534.98	-1142.63	-7561.44
173933.0	-452.98	-11304.57	12001.98
173941.0	-3330.41	-4401.26	6976.54
173950.0	-6384.86	-3000.13	3964.77
173957.0	-1650.9	-841.45	152.77
173965.0	930.21	235.7	395.75
173973.0	459.77	-181.39	1217.32
173981.0	361.32	69.84	1154.75
173988.0	832.72	115.91	1117.41
173996.0	1014.11	-178.48	1815.79
174004.0	761.92	-16.49	1637.8
174012.0	722.63	-103.79	733.79
174020.0	777.92	67.41	1476.3
174028.0	490.32	-49.47	1590.27
174036.0	588.29	-63.05	1372.51
174044.0	427.27	-166.35	1091.71
174052.0	279.84	-503.42	1310.92
174060.0	301.18	-185.27	1136.81
174067.0	560.16	-41.22	953.48
174076.0	71.29	-282.26	905.47
174083.0	90.21	-387.99	750.28
174091.0	104.27	-784.22	1082.01
174099.0	-142.1	-773.07	850.67
174107.0	-186.24	-169.75	948.15
174115.0	-229.88	-153.26	1130.99
174123.0	-55.29	-92.15	968.03
174130.0	-31.52	-62.08	598.47
174138.0	60.62	-321.06	1092.68
174146.0	-171.69	-494.2	713.42
174154.0	147.44	-234.25	738.15
174162.0	-2.91	-1012.17	-92.15
174170.0	203.21	-534.94	917.11
174178.0	-85.84	-551.43	1253.69
174186.0	-90.69	-362.29	1785.24
174194.0	-235.22	-158.59	1172.7
174202.0	-225.03	-274.5	1297.34
174210.0	-64.5	-595.56	319.12
174217.0	-238.13	-358.89	735.73
174225.0	-410.78	-258.98	948.15
174233.0	-484.99	-636.79	1213.44
174241.0	-508.27	-279.84	1004.89
174249.0	-419.51	-668.8	885.59
174257.0	-520.39	-569.86	550.46
174265.0	-592.65	-561.62	897.23
174273.0	-649.88	-676.56	1077.16
174280.0	-698.38	-558.22	735.24
174288.0	-575.68	-515.54	473.83
174296.0	-491.29	306.51	942.33
174304.0	-511.66	-583.44	624.66
174312.0	-495.17	-454.92	1107.23
174320.0	-936.51	-473.83	1837.13
174328.0	-899.65	94.57	-806.53
174336.0	-546.58	-392.35	1244.48
174344.0	-474.32	-183.81	1401.61
174353.0	-260.44	-396.72	1062.61
174359.0	-187.21	-359.38	881.71
174367.0	117.37	-140.65	2834.75
174375.0	-164.9	-304.57	1420.04
174383.0	-235.7	94.57	-811.87
174391.0	163.93	-371.5	498.57
174399.0	646.97	-926.81	2806.62
174407.0	945.24	-82.93	1300.74
174415.0	215.33	-1123.23	1610.16
174423.0	185.27	-662.49	1719.28
174430.0	385.56	-451.52	968.52
174438.0	285.17	-515.06	1106.26
174446.0	630.0	-945.24	649.4
174454.0	850.18	-807.5	1080.07
174462.0	1210.04	-837.09	259.47
174470.0	1233.81	-758.52	987.92
174478.0	1592.7	-644.06	1040.78
174485.0	1641.68	-605.26	834.18
174493.0	1724.61	-541.25	873.95
174501.0	1872.54	-758.52	786.16
174509.0	1764.87	-310.88	701.78
174517.0	1427.8	-680.44	743.97
174525.0	760.46	-368.11	759.49
174533.0	249.28	-394.29	714.87
174541.0	73.72	-890.44	1041.27
174549.0	-112.52	-1189.19	1014.11
174557.0	-195.45	-638.24	1495.22
174564.0	243.46	-1168.33	1914.24
174572.0	-589.74	69.84	3131.56
174580.0	-1046.6	-445.7	386.05
174588.0	-1389.49	180.9	2479.25
174596.0	-1315.29	-605.75	3784.84
174605.0	-1049.03	-725.06	8619.68
174612.0	114.94	1614.52	4529.78
174619.0	-48.01	2950.18	3221.29
174627.0	-95.54	1104.8	5277.63
174635.0	-197.39	548.04	4470.61
174643.0	-250.25	676.56	1802.21
174651.0	-476.74	735.73	329.31
174659.0	-968.52	574.71	319.61
174667.0	-631.94	428.73	155.2
174675.0	-265.29	548.04	1284.25
174683.0	-168.78	439.4	1633.92
174691.0	-428.24	276.93	-939.42
174698.0	-516.03	254.62	-1373.97
174706.0	-530.58	423.39	1360.39
174714.0	-230.85	422.42	1969.05
174722.0	-48.98	908.38	205.15
174730.0	-201.75	548.52	-369.56
174738.0	-412.24	160.05	509.24
174746.0	-344.83	268.2	799.74
174754.0	-66.93	403.02	1130.02
174762.0	-157.62	380.23	1241.08
174769.0	-254.13	329.31	-199.33
174778.0	-274.99	342.89	-251.22
174785.0	-127.55	314.76	1601.91
174793.0	-62.08	310.88	2198.93
174801.0	20.37	349.19	382.17
174809.0	-52.38	389.44	-134.83
174818.0	-107.67	303.6	1256.6
174825.0	68.87	210.48	1553.9
174833.0	166.35	64.5	1025.26
174841.0	88.27	-54.8	476.74
174849.0	-28.61	-104.27	198.36
174856.0	89.72	-165.87	240.07
174864.0	200.3	-407.39	1192.58
174872.0	223.09	-617.39	1317.71
174880.0	179.93	-716.33	25.22
174889.0	136.77	-798.77	-35.4
174896.0	134.34	-947.18	1089.28
174904.0	171.2	-1088.8	1327.41
174911.0	192.54	-1245.93	407.39
174919.0	54.32	-1306.56	227.46
174928.0	-55.29	-1345.84	634.36
174935.0	-31.52	-1325.47	806.05
174943.0	-104.27	-1101.89	1271.64
174951.0	298.27	-42.68	500.51
174959.0	165.38	-173.63	-838.06
174967.0	-269.65	-759.49	1982.14
174975.0	-433.58	-1497.64	-3125.26
174982.0	-762.89	-1922.0	-2667.43
174990.0	-969.97	-2108.24	406.42
174999.0	-918.57	-20.85	-1398.22
175006.0	1469.03	-1801.73	6431.42
175014.0	3080.15	-4899.34	5725.27
175022.0	-186.24	-2837.18	918.57
175030.0	-3485.6	-3176.18	-10798.73
175038.0	-935.54	-7141.44	9949.03
