Versión de firmware: v10.0
Time(ms), Yaw(º), Pitch(º), Roll(º), AccX(mg), AccY(mg), AccZ(mg)
5,47.11, 2.03, 5.67, -54.32, 44.13, 998.59;
13,46.96, 2.04, 5.66, -52.86, 46.56, 993.25;
21,46.82, 2.05, 5.65, -45.59, 42.68, 993.74;
29,46.67, 2.06, 5.65, -51.89, 48.50, 988.89;
36,46.53, 2.07, 5.64, -51.41, 48.98, 985.98;
44,46.38, 2.08, 5.64, -51.89, 42.68, 987.43;
52,46.23, 2.09, 5.63, -53.83, 41.22, 985.98;
60,46.08, 2.10, 5.63, -54.32, 51.41, 986.46;
68,45.94, 2.10, 5.63, -53.83, 40.74, 988.40;
76,45.79, 2.12, 5.63, -57.71, 42.68, 993.25;
84,45.63, 2.12, 5.64, -52.38, 47.53, 989.37;
92,45.50, 2.13, 5.64, -52.38, 49.47, 990.34;
99,45.35, 2.14, 5.65, -48.50, 41.22, 985.98;
108,45.20, 2.15, 5.66, -52.86, 45.59, 988.89;
115,45.05, 2.16, 5.66, -49.95, 45.10, 992.77;
123,44.91, 2.16, 5.67, -56.26, 51.41, 987.43;
131,44.76, 2.17, 5.68, -50.92, 46.07, 990.83;
139,44.61, 2.18, 5.68, -53.35, 44.62, 990.83;
147,44.47, 2.19, 5.69, -56.26, 50.44, 988.40;
155,44.32, 2.20, 5.70, -49.95, 47.04, 988.40;
163,44.18, 2.20, 5.70, -50.44, 51.41, 995.19;
171,44.03, 2.21, 5.70, -49.95, 53.35, 994.22;
179,43.88, 2.22, 5.70, -50.44, 48.01, 995.68;
186,43.74, 2.22, 5.70, -54.32, 47.04, 987.43;
194,43.59, 2.23, 5.70, -48.98, 45.59, 988.89;
202,43.46, 2.24, 5.70, -47.53, 46.07, 994.22;
210,43.32, 2.25, 5.70, -51.89, 48.98, 993.74;
218,43.17, 2.25, 5.70, -52.38, 48.50, 991.80;
226,43.03, 2.26, 5.70, -51.41, 42.68, 988.40;
234,42.89, 2.27, 5.70, -57.23, 45.10, 994.22;
242,42.74, 2.28, 5.71, -50.44, 51.41, 992.28;
249,42.60, 2.28, 5.71, -54.80, 48.01, 990.83;
257,42.46, 2.29, 5.71, -53.83, 45.59, 989.37;
265,42.31, 2.30, 5.71, -51.41, 48.50, 994.22;
273,42.17, 2.31, 5.71, -53.83, 49.47, 996.16;
281,42.02, 2.31, 5.71, -52.38, 46.07, 989.37;
289,41.88, 2.32, 5.71, -54.80, 46.56, 995.19;
297,41.74, 2.33, 5.71, -53.35, 46.07, 986.95;
305,41.60, 2.34, 5.71, -48.98, 46.56, 996.16;
313,41.46, 2.35, 5.71, -53.83, 45.59, 989.86;
321,41.31, 2.35, 5.71, -53.35, 45.59, 990.83;
328,41.17, 2.36, 5.71, -52.38, 47.53, 989.86;
336,41.03, 2.37, 5.70, -49.95, 44.62, 988.40;
344,40.89, 2.38, 5.71, -60.62, 44.62, 988.40;
352,40.75, 2.39, 5.71, -51.89, 48.50, 988.89;
360,40.61, 2.39, 5.72, -49.47, 50.92, 994.22;
368,40.48, 2.40, 5.72, -52.86, 45.10, 990.34;
376,40.36, 2.41, 5.73, -49.95, 50.92, 990.83;
384,40.23, 2.41, 5.73, -54.80, 51.41, 988.89;
392,40.10, 2.42, 5.74, -48.01, 50.44, 993.74;
399,39.96, 2.43, 5.75, -48.98, 48.50, 993.74;
407,39.83, 2.43, 5.75, -48.50, 48.01, 990.83;
415,39.69, 2.44, 5.75, -53.35, 53.83, 995.19;
423,39.55, 2.45, 5.75, -54.80, 53.83, 996.65;
431,39.41, 2.45, 5.75, -51.89, 53.83, 988.40;
439,39.27, 2.46, 5.74, -49.47, 48.98, 996.65;
447,39.12, 2.47, 5.73, -50.44, 54.80, 994.22;
455,38.98, 2.48, 5.71, -48.50, 51.89, 992.77;
462,38.86, 2.49, 5.68, -51.89, 16.49, 1000.53;
470,38.73, 2.49, 5.64, -50.92, 97.48, 987.92;
478,38.59, 2.50, 5.58, -51.89, 59.65, 1005.38;
486,38.45, 2.52, 5.50, -52.38, 66.93, 1019.44;
494,38.32, 2.53, 5.40, -53.35, 69.35, 1039.33;
502,38.18, 2.55, 5.25, -41.71, 65.96, 1004.41;
510,38.04, 2.57, 5.14, -38.31, 267.71, 1166.39;
