Time	Yaw	Pitch	Roll
84006.0	646.49	781.8	1022.35
84061.0	308.94	-133.86	1240.11
84116.0	158.59	47.04	749.79
84171.0	145.5	283.23	712.93
84226.0	117.85	263.83	1434.59
84281.0	-1.45	222.61	1024.78
84336.0	-326.4	464.13	966.58
84390.0	-274.5	210.48	1199.37
84445.0	66.44	130.95	1389.49
84500.0	316.21	408.36	1098.5
84555.0	1202.28	641.64	1345.84
84610.0	-278.38	590.71	1158.63
84665.0	-943.79	-420.48	4171.86
84719.0	-175.08	-518.94	2474.41
84775.0	188.18	-123.67	1019.93
84829.0	460.74	-355.5	989.37
84884.0	415.15	423.88	736.21
84939.0	224.06	823.99	1178.03
84994.0	-71.78	1008.29	1361.84
85049.0	-150.35	1013.62	938.45
85104.0	-843.88	413.21	1092.68
85158.0	-986.46	952.03	3133.99
85213.0	880.74	157.14	983.55
85268.0	132.4	-140.16	1142.63
85323.0	-154.23	-115.91	1197.92
85379.0	-12.12	85.36	974.34
85433.0	47.04	224.06	871.04
85489.0	-225.03	82.45	1094.13
85543.0	-358.89	47.53	1137.3
85598.0	-16.49	553.86	823.99
85652.0	619.81	679.47	807.5
85707.0	1326.93	527.18	675.59
85762.0	360.35	238.61	1229.93
85817.0	-1139.24	304.57	3037.96
85872.0	-1001.01	-695.47	2429.3
85927.0	278.87	-1048.54	1725.58
85982.0	402.54	-587.8	427.76
86036.0	672.19	-29.58	1038.36
86092.0	281.29	1442.35	983.07
86146.0	-436.49	1754.68	775.98
86201.0	-1773.11	1582.51	2736.78
86256.0	-339.01	766.28	1004.89
86312.0	923.9	-210.48	1008.77
86366.0	70.81	63.53	1033.51
86421.0	65.96	41.22	1248.36
86475.0	-159.56	171.69	941.85
86530.0	-232.79	264.32	1100.92
86585.0	6.79	165.38	989.86
86640.0	-51.89	116.88	879.28
86695.0	129.01	380.72	1105.29
86750.0	-72.26	501.48	935.06
86805.0	317.18	775.49	772.1
86859.0	1423.92	147.44	1065.03
86914.0	-922.93	471.41	1710.55
86969.0	-1544.68	-1235.26	3867.77
87024.0	-150.35	-440.37	862.79
87079.0	14.06	-66.44	468.5
87134.0	349.19	183.33	1357.96
87190.0	308.45	585.86	21.34
87244.0	267.23	817.69	1209.56
87298.0	121.73	962.21	1260.48
87354.0	7.76	871.52	751.73
87408.0	-710.02	803.14	684.8
87463.0	-1024.78	307.97	3216.44
87518.0	630.97	295.36	1164.94
87573.0	283.72	-88.75	1146.99
87628.0	20.37	-46.56	942.33
87682.0	-267.23	179.45	921.48
87737.0	-186.72	103.3	1202.77
87792.0	10.18	237.16	895.77
87847.0	71.29	334.16	1034.96
87902.0	226.49	124.64	669.77
87957.0	215.82	270.14	1288.13
88012.0	1232.35	440.85	597.5
88067.0	-1.94	412.24	1404.04
88122.0	-1006.83	541.73	3934.22
88176.0	-808.96	-1083.95	1207.62
88231.0	-172.66	-444.25	196.42
88286.0	150.83	-487.41	1285.22
88341.0	423.39	-129.98	764.82
88396.0	436.49	646.0	956.39
88451.0	98.94	994.22	1075.7
88506.0	-225.03	1313.35	770.64
88560.0	-1049.03	1591.24	667.83
88615.0	1078.61	742.52	973.85
88670.0	217.76	-533.0	1289.58
88725.0	194.96	177.99	1261.45
88780.0	364.71	137.25	1292.01
88835.0	237.16	227.94	813.81
88890.0	-156.17	76.14	834.66
88945.0	-479.17	369.56	739.61
88999.0	-40.25	494.69	1015.08
89054.0	-24.25	475.29	1251.27
89109.0	380.23	1049.51	1075.22
89164.0	456.37	399.63	640.18
89219.0	-388.47	488.87	1886.6
89274.0	-191.08	-910.81	3557.38
