Versión de firmware: v10.0
Time(ms), Yaw(º), Pitch(º), Roll(º), AccX(mg), AccY(mg), AccZ(mg)
6,-130.06, 10.87, -0.34, -1603.37, 502.93, 1361.36;
14,-130.12, 10.90, -0.81, -1481.15, 330.28, 1477.27;
22,-130.18, 10.92, -1.01, -1295.40, 160.53, 1276.49;
30,-130.24, 10.94, -1.04, -1247.39, -181.39, 2310.48;
37,-130.32, 10.93, -0.93, -1170.76, 212.42, 1566.02;
45,-130.40, 10.78, -0.60, -1098.50, 548.52, -32.49;
53,-130.46, 10.84, -0.56, -944.76, 3.39, 910.32;
61,-130.50, 10.89, -0.47, -972.88, -127.55, 1049.51;
69,-130.52, 10.84, -0.42, -871.52, 146.95, 648.43;
77,-130.54, 10.86, -0.40, -626.60, 156.65, 608.17;
85,-130.55, 10.91, -0.34, -655.70, -35.40, 1759.05;
92,-130.56, 10.83, -0.18, -372.96, 13.09, 1138.75;
100,-130.58, 10.81, -0.10, -97.48, -313.30, 3.39;
108,-130.59, 10.80, 0.05, 90.21, 104.27, 1063.58;
116,-130.62, 10.75, 0.18, 32.01, 305.06, 1427.80;
124,-130.65, 10.67, 0.14, 178.48, 200.78, -190.60;
131,-130.70, 10.78, 0.20, 184.30, -347.25, 1386.09;
139,-130.75, 10.76, 0.43, 107.18, -261.41, 1456.90;
147,-130.82, 10.74, 0.49, 113.97, -290.51, 1122.75;
155,-130.86, 10.73, 0.53, -24.25, -278.38, 463.65;
163,-130.91, 10.76, 0.41, -199.33, -368.11, 1149.42;
171,-130.94, 10.78, 0.27, -350.65, 3.39, 842.42;
179,-130.96, 10.90, -0.00, -828.84, -374.90, -308.45;
186,-130.95, 10.92, -0.23, -724.09, -424.85, 822.54;
194,-130.95, 10.92, -0.37, -512.63, -67.90, 1460.78;
202,-130.94, 10.90, -0.50, -680.44, 251.71, 1890.97;
210,-130.94, 10.89, -0.67, -530.58, 219.70, 882.68;
218,-130.91, 10.81, -0.83, -602.35, 297.78, 1615.98;
225,-130.89, 10.75, -0.88, -730.88, 181.87, 1236.72;
234,-130.88, 10.68, -0.94, -560.16, -12.12, 1165.42;
241,-130.86, 10.63, -0.98, -682.86, 95.06, 1003.44;
249,-130.85, 10.58, -1.04, -601.87, 95.06, 1263.39;
257,-130.83, 10.55, -1.07, -788.59, -74.69, 1820.16;
265,-130.80, 10.51, -1.08, -777.43, 37.34, 1005.86;
273,-130.79, 10.48, -1.08, -620.78, -42.68, 1322.08;
280,-130.78, 10.46, -1.08, -638.73, -29.58, 1081.04;
288,-130.77, 10.43, -1.09, -9.21, 64.99, 1106.26;
296,-130.76, 10.40, -1.11, -115.91, 79.54, 473.83;
304,-130.75, 10.38, -1.17, -146.47, -116.88, 1621.80;
312,-130.75, 10.35, -1.27, -177.99, -66.44, 619.81;
320,-130.74, 10.33, -1.37, -66.44, -181.87, 1624.71;
327,-130.75, 10.30, -1.42, -121.25, 201.75, 798.77;
335,-130.75, 10.28, -1.55, -127.55, -273.53, 1297.34;
343,-130.73, 10.23, -1.56, -61.59, 120.76, 987.92;
351,-130.70, 10.20, -1.64, -94.57, -2.42, 1020.90;
359,-130.67, 10.16, -1.64, -140.16, 110.58, 1059.21;
367,-130.66, 10.17, -1.65, -148.41, -57.23, 890.92;
374,-130.66, 10.14, -1.66, -145.50, 851.15, 212.91;
382,-130.65, 10.13, -1.71, -76.63, -117.37, 1416.65;
390,-130.63, 10.13, -1.76, -43.65, 177.99, 1103.83;
398,-130.61, 10.15, -1.80, -87.78, -64.50, 1375.91;
406,-130.59, 10.13, -1.81, -54.80, 48.01, 995.68;
414,-130.56, 10.12, -1.83, -49.95, 10.18, 1016.53;
422,-130.54, 10.13, -1.87, -13.09, 29.58, 661.04;
429,-130.51, 10.15, -1.99, -120.28, -322.03, 2099.51;
437,-130.49, 10.15, -2.15, 46.07, -304.09, -134.34;
445,-130.46, 10.16, -2.30, -157.62, 198.36, 892.38;
453,-130.45, 10.17, -2.44, -104.27, -287.11, 1093.16;
461,-130.43, 10.15, -2.50, -58.68, -61.59, 1069.40;
469,-130.41, 10.14, -2.55, -52.86, 38.80, 1033.02;
476,-130.40, 10.12, -2.64, -65.47, -16.00, 1069.88;
484,-130.39, 10.10, -2.77, 7.27, -35.40, 1013.14;
492,-130.39, 10.11, -2.94, -56.26, 63.05, 1102.38;
500,-130.39, 10.12, -3.10, 10.18, -287.11, 1183.85;
508,-130.39, 10.13, -3.29, -77.11, 1.94, 1140.21;
516,-130.38, 10.11, -3.46, -58.68, -209.03, 1005.86;
523,-130.38, 10.10, -3.59, -66.93, -127.55, 973.37;
531,-130.36, 10.09, -3.66, -45.10, 61.59, 1043.21;
539,-130.35, 10.10, -3.90, -48.01, 510.21, 665.89;
547,-130.35, 10.10, -4.15, -78.08, -243.95, 1001.98;
555,-130.34, 10.08, -4.32, -71.29, -231.34, 1050.97;
563,-130.32, 10.07, -4.39, -67.90, -145.50, 1054.85;
571,-130.31, 10.05, -4.41, -60.62, -22.31, 1033.02;
578,-130.29, 10.04, -4.44, -58.20, -52.38, 1031.08;
586,-130.27, 10.02, -4.46, -48.98, -30.55, 1031.57;
594,-130.25, 10.01, -4.47, -64.99, -21.34, 1035.93;
602,-130.23, 9.99, -4.49, -56.26, -36.86, 1032.54;
610,-130.22, 9.98, -4.51, -52.38, -32.49, 1035.93;
618,-130.22, 9.96, -4.52, -51.89, -27.16, 1021.38;
626,-130.21, 9.95, -4.54, -55.77, -26.19, 1020.41;
633,-130.19, 9.93, -4.55, -57.23, -30.07, 1023.81;
641,-130.17, 9.92, -4.57, -57.23, -32.49, 1020.90;
649,-130.15, 9.90, -4.58, -59.65, -32.01, 1028.66;
657,-130.14, 9.89, -4.60, -62.56, -28.13, 1039.81;
665,-130.12, 9.87, -4.63, -53.35, -25.22, 1042.24;
672,-130.09, 9.90, -4.75, 3.88, 1169.30, 590.23;
680,-130.08, 9.91, -4.89, -39.77, 451.52, 1058.24;
688,-130.08, 9.90, -5.11, -59.65, -265.77, 901.59;
696,-130.08, 9.92, -5.22, -67.41, -242.01, 1078.61;
704,-130.07, 9.90, -5.28, -54.80, -41.22, 1038.84;
712,-130.06, 9.89, -5.33, -52.38, -20.37, 1039.33;
720,-130.05, 9.88, -5.37, -64.50, 111.06, 1044.18;
727,-130.03, 9.86, -5.43, -50.44, -24.25, 978.70;
735,-130.01, 9.89, -5.78, 37.83, 71.78, 526.21;
744,-129.99, 9.87, -5.98, -58.20, -21.34, 1045.15;
751,-129.97, 9.86, -6.09, -60.14, -128.04, 1058.73;
759,-129.96, 9.85, -6.13, -51.41, -131.92, 987.43;
766,-129.94, 9.83, -6.14, -59.65, -14.06, 1021.87;
774,-129.93, 9.82, -6.16, -60.62, -51.89, 1017.50;
782,-129.93, 9.81, -6.18, -58.20, -91.18, 1021.87;
790,-129.91, 9.79, -6.19, -57.71, -63.05, 1028.17;
798,-129.89, 9.78, -6.19, -59.65, -57.23, 1037.87;
806,-129.86, 9.77, -6.20, -59.17, -69.84, 1042.24;
813,-129.84, 9.75, -6.20, -59.65, -69.84, 1036.42;
821,-129.81, 9.74, -6.20, -62.08, -69.35, 1029.14;
829,-129.79, 9.73, -6.20, -59.65, -62.08, 1030.60;
837,-129.76, 9.72, -6.19, -56.26, -55.29, 1020.90;
845,-129.73, 9.71, -6.19, -57.71, -59.17, 1027.20;
853,-129.70, 9.69, -6.19, -54.80, -57.71, 1031.08;
861,-129.67, 9.68, -6.18, -58.68, -68.87, 1030.60;
868,-129.67, 9.67, -6.18, -54.32, -65.96, 1029.63;
876,-129.66, 9.65, -6.18, -62.56, -68.87, 1030.11;
884,-129.64, 9.64, -6.17, -56.74, -61.59, 1023.32;
892,-129.62, 9.62, -6.17, -58.20, -55.77, 1025.26;
900,-129.60, 9.61, -6.16, -56.26, -59.65, 1032.54;
908,-129.58, 9.60, -6.16, -54.80, -59.65, 1030.11;
915,-129.56, 9.59, -6.15, -59.65, -62.56, 1030.60;
923,-129.54, 9.57, -6.15, -55.29, -65.96, 1030.60;
931,-129.52, 9.56, -6.15, -62.56, -68.38, 1037.39;
939,-129.50, 9.55, -6.14, -57.71, -56.74, 1029.63;
947,-129.49, 9.53, -6.14, -56.74, -55.29, 1035.45;
955,-129.47, 9.52, -6.14, -63.05, -58.20, 1022.35;
962,-129.45, 9.51, -6.14, -48.98, -60.14, 1048.54;
970,-129.43, 9.52, -6.15, -38.80, 39.77, 748.34;
978,-129.41, 9.51, -6.16, -55.77, -66.93, 1055.33;
986,-129.39, 9.49, -6.16, -53.83, -69.35, 1062.12;
994,-129.36, 9.48, -6.17, -56.74, -40.25, 1022.35;
1002,-129.34, 9.47, -6.19, -58.68, -54.32, 1018.96;
1009,-129.32, 9.46, -6.22, -62.56, -47.53, 1041.75;
1018,-129.31, 9.44, -6.24, -51.41, -51.41, 1053.39;
1025,-129.28, 9.46, -6.45, -93.12, -507.30, 1235.26;
1033,-129.25, 9.45, -6.67, -23.76, 59.65, 947.67;
1041,-129.25, 9.46, -6.90, -40.25, -165.38, 836.12;
1049,-129.25, 9.45, -7.01, -64.99, -236.67, 1008.29;
1057,-129.23, 9.44, -7.05, -61.11, -144.04, 1036.42;
1064,-129.22, 9.43, -7.08, -63.05, -135.80, 1047.09;
1072,-129.21, 9.42, -7.12, -57.23, -100.88, 1024.78;
1080,-129.19, 9.41, -7.14, -61.11, -63.53, 1019.44;
1088,-129.16, 9.39, -7.16, -53.83, -56.74, 1032.54;
1096,-129.16, 9.38, -7.17, -59.17, -86.81, 1017.50;
1104,-129.15, 9.37, -7.18, -62.56, -97.00, 1022.35;
1111,-129.14, 9.36, -7.18, -59.65, -103.30, 1014.59;
1119,-129.12, 9.34, -7.18, -60.62, -97.48, 1029.63;
1127,-129.10, 9.33, -7.17, -58.20, -93.12, 1031.08;
1135,-129.09, 9.32, -7.15, -53.83, -81.96, 1029.14;
1143,-129.09, 9.30, -7.13, -65.47, -72.75, 1032.05;
1151,-129.08, 9.29, -7.11, -53.35, -74.20, 1028.17;
1158,-129.07, 9.28, -7.09, -58.20, -79.05, 1028.17;
1166,-129.05, 9.26, -7.08, -54.80, -85.84, 1028.17;
1174,-129.03, 9.25, -7.06, -62.56, -88.27, 1026.23;
1182,-129.00, 9.24, -7.05, -58.20, -82.93, 1029.63;
1190,-128.98, 9.23, -7.04, -58.20, -79.54, 1027.20;
1198,-128.96, 9.22, -7.02, -56.74, -73.72, 1030.11;
1206,-128.95, 9.20, -7.01, -51.41, -74.69, 1027.20;
1213,-128.93, 9.19, -6.99, -53.35, -80.99, 1030.11;
1221,-128.91, 9.18, -6.98, -58.20, -77.60, 1025.26;
1229,-128.90, 9.17, -6.97, -49.95, -83.42, 1025.75;
1237,-128.87, 9.16, -6.96, -63.53, -79.05, 1023.32;
1245,-128.85, 9.15, -6.94, -58.20, -74.20, 1029.63;
1252,-128.84, 9.13, -6.94, -54.32, -77.11, 1028.66;
1261,-128.83, 9.12, -6.93, -64.02, -69.35, 1031.08;
1268,-128.82, 9.11, -6.92, -58.20, -76.63, 1032.54;
1276,-128.80, 9.10, -6.92, -62.08, -76.14, 1027.69;
1284,-128.78, 9.09, -6.91, -59.65, -79.54, 1027.69;
1292,-128.75, 9.08, -6.91, -59.17, -77.11, 1026.23;
1300,-128.73, 9.07, -6.91, -57.71, -81.96, 1024.78;
1307,-128.71, 9.06, -6.90, -53.83, -81.48, 1030.60;
1315,-128.69, 9.05, -6.89, -57.71, -80.99, 1026.72;
1323,-128.68, 9.04, -6.88, -55.77, -71.29, 1034.96;
1331,-128.66, 9.02, -6.88, -56.74, -76.14, 1025.75;
1339,-128.64, 9.01, -6.87, -55.29, -73.72, 1026.72;
1347,-128.63, 9.00, -6.87, -57.71, -74.69, 1022.84;
1354,-128.62, 8.99, -6.86, -61.59, -80.02, 1032.54;
1362,-128.60, 8.98, -6.86, -56.26, -80.51, 1029.63;
1370,-128.58, 8.96, -6.86, -57.71, -76.63, 1029.14;
1378,-128.57, 8.96, -6.86, -59.17, -78.57, 1033.02;
1386,-128.56, 8.95, -6.86, -62.08, -81.96, 1030.11;
1394,-128.54, 8.94, -6.86, -63.05, -79.54, 1026.23;
1401,-128.53, 8.93, -6.85, -59.65, -76.63, 1028.17;
1409,-128.51, 8.92, -6.85, -59.17, -78.57, 1028.17;
1417,-128.50, 8.91, -6.85, -55.29, -81.96, 1029.63;
1425,-128.49, 8.90, -6.85, -55.29, -74.69, 1029.14;
1433,-128.47, 8.89, -6.85, -57.23, -78.57, 1030.60;
1441,-128.46, 8.88, -6.85, -60.62, -79.05, 1025.26;
1448,-128.44, 8.87, -6.85, -58.68, -78.08, 1027.20;
1456,-128.41, 8.86, -6.85, -61.59, -77.60, 1025.26;
1464,-128.39, 8.85, -6.85, -56.26, -83.42, 1034.96;
1472,-128.37, 8.83, -6.85, -52.38, -75.66, 1030.11;
1480,-128.35, 8.82, -6.85, -56.26, -73.23, 1030.11;
1488,-128.34, 8.81, -6.86, -58.20, -75.17, 1031.57;
1495,-128.31, 8.80, -6.86, -57.23, -80.99, 1022.84;
1503,-128.28, 8.79, -6.86, -56.26, -80.02, 1039.81;
1511,-128.26, 8.79, -6.87, -60.62, -82.93, 1023.32;
1519,-128.24, 8.77, -6.87, -56.74, -80.99, 1023.32;
