Time	Yaw	Pitch	Roll
72107.0	-463.65	-1582.03	1128.08
72114.0	-518.94	-1682.42	1664.96
72122.0	-599.93	-1580.57	1198.4
72130.0	-567.92	-1452.05	-128.52
72137.0	-657.64	-2205.24	741.06
72145.0	-1104.32	-1349.23	-370.05
72153.0	-1062.61	-365.68	-1653.32
72161.0	-1569.42	-448.13	-4501.17
72169.0	-2538.91	-1393.37	346.77
72177.0	207.09	-1287.64	799.26
72185.0	1859.44	-4081.65	6672.94
72193.0	-612.54	-2398.75	1859.44
72201.0	-3860.01	-1651.87	-9077.51
72208.0	-1394.34	-4891.1	7986.29
72216.0	-1698.91	-3154.84	3088.88
72224.0	-1144.57	-2143.64	830.78
72232.0	316.7	-1667.87	572.77
72240.0	612.54	-593.62	1109.17
72248.0	940.39	-1726.55	1353.6
72257.0	943.3	-238.13	805.08
72264.0	907.41	-21.82	1035.93
72272.0	895.77	-77.6	659.58
72279.0	605.26	-224.55	264.32
72288.0	685.29	-527.18	661.04
72295.0	387.5	-29.1	1123.72
72303.0	356.47	-303.6	1242.05
72311.0	201.75	-136.28	1314.8
72319.0	232.79	-79.05	859.88
72327.0	137.25	-175.08	625.63
72335.0	-20.37	-73.23	1134.87
72343.0	97.48	-162.96	816.23
72350.0	115.91	134.83	1150.39
72359.0	55.77	-654.25	888.01
72366.0	46.56	66.93	1036.42
72374.0	-8.73	30.55	1421.01
72383.0	-64.99	-155.68	1492.31
72390.0	-348.71	-390.41	1138.75
72398.0	66.44	-54.32	810.9
72406.0	-14.06	-307.0	926.81
72414.0	-154.23	-243.95	918.57
72422.0	-80.51	-434.06	623.21
72429.0	93.12	-45.59	998.1
72437.0	-68.38	-456.37	-6.79
72445.0	58.2	-125.61	673.16
72453.0	-129.49	-401.57	1147.96
72461.0	101.85	-518.45	752.22
72469.0	170.72	-410.3	1410.83
72477.0	-62.08	-113.0	1391.43
72485.0	6.3	-348.71	735.24
72493.0	1.94	-510.69	1027.2
72500.0	20.85	-357.92	1040.3
72508.0	30.55	-252.68	1051.45
72516.0	-86.81	-261.41	1084.43
72524.0	-194.48	-524.27	865.22
72532.0	-181.39	-435.52	888.01
72540.0	-253.16	-355.98	556.77
72548.0	-293.42	-253.16	953.0
72557.0	-324.94	-627.57	1059.7
72564.0	-430.18	-514.57	1021.87
72572.0	-459.28	-271.59	1001.98
72580.0	-543.19	-395.75	782.28
72587.0	-554.83	-462.68	801.68
72595.0	-509.24	-511.66	872.01
72603.0	-410.3	-539.79	822.54
72611.0	-404.48	-329.79	1211.98
72619.0	-326.88	-210.97	684.32
72627.0	-149.86	-668.8	1036.42
72634.0	-10.18	-848.73	745.43
