Time	Yaw	Pitch	Roll
56952.0	934.57	1384.64	4308.14
56960.0	730.88	1311.89	3948.28
56968.0	334.64	1259.51	1251.27
56975.0	20.85	-236.19	-1135.36
56983.0	-34.43	807.02	341.43
56992.0	289.05	675.1	2277.02
56999.0	422.91	-133.86	1051.45
57008.0	210.0	-519.91	-1279.4
57015.0	-2051.01	3237.29	3626.25
57023.0	-684.8	3175.21	-4052.07
57031.0	-306.03	210.0	4330.94
57038.0	-690.62	-51.89	3710.64
57046.0	32.49	346.77	-17.94
57054.0	-577.62	445.7	2516.11
57062.0	-452.49	397.2	2487.5
57070.0	-194.48	290.99	2165.95
57078.0	-174.11	351.62	2146.07
57086.0	-175.08	479.65	737.18
57094.0	-100.39	530.09	310.88
57102.0	54.32	570.35	909.35
57110.0	148.41	407.87	1613.07
57117.0	118.82	232.31	713.9
57125.0	25.7	97.48	-257.53
57133.0	-83.9	159.08	452.01
57142.0	-67.41	-11.15	1484.06
57149.0	-125.61	-39.28	1631.5
57157.0	-242.49	-145.5	771.61
57165.0	-480.62	-29.1	600.9
57173.0	-539.79	-119.31	787.62
57181.0	-514.57	-308.94	1426.35
57189.0	-533.97	-288.08	1494.25
57196.0	-639.7	-237.16	456.37
57204.0	-780.34	-229.88	81.48
57212.0	-773.55	-334.64	417.57
57220.0	-699.35	-384.11	776.46
57228.0	-689.65	-533.0	817.69
57236.0	-675.59	-647.94	709.54
57244.0	-631.45	-561.13	868.13
57251.0	-565.98	-584.89	1335.17
57259.0	-464.62	-655.22	1475.82
57267.0	-445.22	-633.88	1390.94
57275.0	-468.01	-730.88	1146.51
57283.0	-488.87	-773.07	1210.04
57291.0	-476.74	-865.22	1388.52
57299.0	-487.41	-977.25	1328.87
57307.0	-491.78	-1066.0	1061.64
57314.0	-485.47	-1115.47	826.42
57323.0	-462.68	-1146.51	922.45
57330.0	-403.02	-1192.58	1054.85
57338.0	-351.13	-1216.83	1045.15
57346.0	-316.7	-1172.21	859.88
57354.0	-302.15	-1147.48	743.0
57362.0	-276.93	-1178.52	859.88
57370.0	-235.7	-1161.54	985.49
57378.0	-198.84	-1206.65	1017.99
57385.0	-210.48	-1194.52	853.58
57393.0	-210.0	-1209.56	703.72
57401.0	-217.27	-1230.9	806.05
57409.0	-176.54	-1249.81	1023.81
57417.0	-160.53	-1252.24	1033.51
57425.0	-146.47	-1228.96	636.79
57433.0	-109.12	-1150.39	532.03
57441.0	-203.69	-1363.3	863.76
57449.0	-167.81	-1303.16	537.37
57457.0	-161.5	-1275.52	-174.11
57464.0	-164.9	-1136.81	184.78
57472.0	0.48	-1166.88	705.66
57481.0	82.93	-1146.51	1584.94
