Time	Yaw	Pitch	Roll
227454.0	275.47	354.04	141.62
227509.0	-738.64	904.99	1556.81
227564.0	-623.69	304.57	535.91
227620.0	-639.7	-242.01	864.25
227675.0	-830.78	-772.58	1150.39
227730.0	-327.37	-1053.39	1362.33
227785.0	-57.71	-1391.43	1185.31
227841.0	-75.17	-988.4	1050.0
227896.0	-192.05	-737.18	766.28
227951.0	77.11	-298.75	1101.89
228006.0	138.71	-413.69	1088.31
228061.0	108.64	-296.81	202.24
228117.0	207.57	-295.36	1522.86
228173.0	-52.86	82.93	823.51
228227.0	-1154.51	-665.1600000000001	908.625
228288.0	59.65	-269.17	1023.32
228346.0	-216.79	-342.89	1072.79
228401.0	93.6	-341.43	856.97
228456.0	132.89	-979.67	889.95
228511.0	-88.27	-440.37	886.56
228566.0	-111.06	-466.56	1008.77
228621.0	218.24	-281.29	982.1
228677.0	167.81	-377.81	953.0
228732.0	96.51	-316.7	879.77
228788.0	-29.58	-612.05	800.71
228842.0	-139.19	-309.91	588.77
228898.0	508.75	-390.9	796.83
228953.0	1194.52	-527.67	546.1
229008.0	-436.0	-867.64	1417.62
229063.0	-878.31	-369.56	3312.95
229118.0	-509.24	543.19	1524.8
229174.0	-43.65	434.55	341.43
229229.0	-5.82	162.47	104.27
229284.0	261.89	-265.77	1246.42
229339.0	88.27	-404.48	207.57
229395.0	143.56	-560.16	1292.98
229451.0	47.04	-723.12	509.72
229505.0	228.43	-873.95	1368.15
229560.0	445.7	-1024.78	706.63
229615.0	444.73	-839.03	860.85
229671.0	271.59	-997.13	1568.93
229726.0	305.54	-847.27	805.56
229781.0	163.44	1.45	1029.63
229836.0	-346.28	-129.49	1075.7
229891.0	-540.76	5.82	907.9
229946.0	-374.41	-45.59	807.02
230002.0	-108.15	-74.2	933.6
230057.0	28.13	-214.85	1070.37
230112.0	46.07	-325.43	1034.48
230167.0	94.57	-152.29	957.85
230223.0	-39.28	-328.82	877.34
230278.0	214.85	-367.14	1174.15
230333.0	572.77	-500.02	1061.15
230388.0	651.34	-407.87	922.93
230443.0	-434.55	-269.65	990.34
230499.0	-416.12	-411.75	892.86
230555.0	265.77	-578.1	1015.56
230609.0	845.82	-537.85	985.98
230664.0	-207.57	-607.69	1135.36
230720.0	-417.09	512.63	4925.53
230775.0	-515.54	-397.2	501.48
230830.0	-550.46	209.03	-118.82
230885.0	36.86	59.17	1170.27
230940.0	87.78	71.29	339.01
230995.0	232.79	-39.28	1034.96
231051.0	258.01	-435.52	680.92
231106.0	137.25	-854.06	683.83
231161.0	344.83	-1171.24	1121.78
231216.0	410.78	-1223.62	308.94
231272.0	596.53	-1141.66	1968.56
231327.0	-1498.61	-1099.47	1643.62
231382.0	-110.09	-153.74	545.13
231437.0	-74.69	-48.98	1080.55
231492.0	-403.02	-83.9	1030.6
231548.0	-573.74	-225.03	1035.93
231603.0	-96.51	56.26	1068.91
231658.0	101.36	-184.3	903.53
231713.0	130.95	-152.77	1045.63
231769.0	8.24	-234.73	824.48
231824.0	-1.94	-323.49	918.57
231879.0	-53.35	-174.11	1188.7
231934.0	209.03	-245.89	1050.97
231989.0	183.81	-376.84	1042.72
232045.0	-199.33	-459.77	755.61
232100.0	-174.6	-462.19	854.55
232155.0	291.96	-531.55	1143.11
232210.0	528.64	-667.34	840.0
232266.0	1059.7	-673.16	1002.47
232321.0	-63.53	-737.67	751.25
232376.0	-1142.15	166.35	3405.58
232431.0	-353.56	646.97	2586.92
232486.0	-441.34	505.84	-1077.64
232542.0	22.31	96.51	1609.67
232597.0	159.08	83.9	1011.2
232652.0	293.9	-58.68	695.96
232707.0	309.42	-339.49	528.15
232762.0	305.54	-853.09	1387.55
232818.0	437.46	-1066.0	1277.94
232873.0	124.64	-1557.78	585.86
232928.0	-531.06	-1512.19	541.73
232983.0	26.67	-369.08	1212.47
233039.0	-275.47	-187.21	1065.03
233094.0	-322.03	-26.19	791.01
233149.0	-64.99	-15.03	988.89
233204.0	-38.8	-121.25	980.16
233259.0	-385.56	-217.27	753.19
233315.0	-266.74	-105.24	1054.36
233371.0	99.42	-250.74	860.37
233425.0	282.26	-403.02	971.43
233480.0	851.64	-394.78	899.17
233535.0	599.44	-590.71	910.32
233590.0	399.63	-506.33	849.7
233646.0	383.14	-429.7	1028.17
233701.0	-935.06	-488.87	855.52
233756.0	-158.11	-740.58	635.82
233811.0	-379.75	-606.23	1101.41
233867.0	-656.67	-370.53	2093.69
233923.0	971.43	854.06	3827.03
233977.0	-152.29	6.79	-212.42
234032.0	117.85	-136.77	195.93
234088.0	336.1	-322.52	754.16
234143.0	326.88	-399.14	678.5
234198.0	321.55	-161.02	952.52
234253.0	337.07	-248.8	892.38
234308.0	385.56	-389.93	939.42
234364.0	269.65	-900.62	854.06
234419.0	185.27	-1341.96	-282.75
234474.0	166.84	-959.79	1658.17
234529.0	-496.63	-1404.04	1143.11
234585.0	783.25	-110.58	928.27
234640.0	111.55	-102.33	1025.75
234696.0	-734.76	32.01	885.1
234750.0	-881.71	194.48	780.83
234805.0	-362.29	-403.02	690.62
234860.0	111.55	-292.93	950.58
234916.0	338.52	-248.8	1001.5
234971.0	278.87	-193.99	946.7
235026.0	11.15	-343.86	1017.99
235082.0	100.88	-296.81	955.42
235137.0	57.23	-392.84	907.41
235192.0	-12.12	-165.87	851.15
235247.0	-84.87	-410.78	854.55
235302.0	-433.58	-380.23	887.04
235357.0	112.52	-585.38	565.98
235413.0	207.09	-509.72	772.58
235468.0	-470.92	-682.86	761.43
235523.0	768.22	134.34	4335.79
235579.0	191.57	436.49	775.98
235633.0	-219.21	146.95	-1239.63
235688.0	28.61	-160.53	924.39
235745.0	112.52	-277.41	807.99
235799.0	273.53	2.91	1520.44
235854.0	129.98	-52.38	662.01
235910.0	253.16	-604.78	958.82
235965.0	294.39	-1236.23	306.03
236020.0	146.95	-2028.22	1487.94
236075.0	-282.75	-1822.1	1078.61
236130.0	-158.59	-595.08	901.11
236186.0	186.72	80.99	1072.79
236241.0	-376.84	-102.82	919.05
236296.0	-697.9	-135.8	1004.41
236351.0	-332.22	-231.34	1019.44
236406.0	202.72	-380.23	864.25
236462.0	44.62	-445.22	873.46
236517.0	16.0	-470.92	911.78
236572.0	-331.25	-307.0	1227.99
236627.0	-427.27	-272.56	616.42
236682.0	-131.43	-681.41	1207.62
236738.0	368.59	-423.88	828.36
236793.0	486.93	-418.06	1082.49
236848.0	753.19	-229.88	915.66
236903.0	-55.29	-738.15	917.6
236958.0	-703.23	-203.21	1741.59
237014.0	812.35	797.32	4631.14
237069.0	-359.38	219.7	468.98
237124.0	81.96	-136.77	1079.58
237179.0	36.86	-234.73	846.79
237234.0	278.87	29.1	1047.57
237290.0	274.02	-26.67	203.69
237345.0	431.15	-338.04	1072.79
237400.0	194.96	-1224.59	1116.44
237456.0	97.0	-1655.75	970.46
237511.0	11.64	-2014.15	501.48
237566.0	-44.13	-787.62	1098.5
237621.0	308.94	-383.14	1006.83
237676.0	84.87	-90.21	1124.69
237732.0	-285.17	-91.66	897.71
237787.0	-498.08	-49.95	1003.44
237842.0	-356.47	-61.11	806.05
237897.0	-231.34	-209.03	950.09
237952.0	-160.53	-273.53	838.54
238008.0	13.09	-358.89	965.61
238063.0	0.97	-313.79	651.34
238118.0	-37.34	-89.72	1076.19
238173.0	-8.73	-275.47	1053.39
238228.0	57.23	-289.54	833.21
238283.0	137.25	-431.15	784.71
238339.0	139.19	-459.77	1408.89
238394.0	-260.44	-339.49	1355.54
238450.0	203.69	-644.06	978.22
238504.0	909.35	-850.18	645.03
238560.0	-387.02	-682.86	854.06
238615.0	16.97	87.3	2870.64
238670.0	-129.49	629.51	1619.37
238725.0	-401.57	666.86	-796.35
238780.0	-30.07	342.89	1532.56
238836.0	31.04	182.84	1187.73
238891.0	242.49	-293.9	1017.99
238946.0	316.21	-523.3	772.1
239001.0	180.9	-752.7	1101.41
239056.0	130.46	-787.62	1243.02
239113.0	415.63	-941.85	1542.74
239167.0	543.67	-935.54	375.38
239222.0	436.49	-737.67	189.15
239277.0	-258.98	-1309.95	-694.02
239333.0	28.13	-72.75	1186.76
239388.0	-452.98	-438.91	1264.36
239443.0	-633.88	-118.82	1129.05
239499.0	-331.73	101.85	876.86
239553.0	-10.67	-72.75	1067.94
239609.0	116.4	-305.06	811.87
239664.0	43.16	-288.08	951.06
239719.0	2.91	-194.48	855.03
239774.0	302.15	-486.93	754.64
239830.0	252.68	-279.35	913.72
239885.0	161.99	-333.67	809.44
239940.0	-12.12	-533.49	623.21
239996.0	52.86	-639.7	848.73
240051.0	788.1	-747.85	316.21
240105.0	1101.89	-467.04	1081.04
240162.0	-1344.38	-515.06	2209.6
240216.0	-187.21	87.3	6024.51
240271.0	-627.57	114.46	222.12
240326.0	-153.26	283.23	787.13
240382.0	-45.59	75.17	261.41
240437.0	286.14	-354.04	1344.38
