Versión de firmware: v10.0
Time(ms), Yaw(º), Pitch(º), Roll(º), AccX(mg), AccY(mg), AccZ(mg)
5,-44.34, 6.15, -4.41, -31.52, -90.21, 985.49;
13,-44.30, 6.13, -4.42, -24.73, -92.63, 987.92;
21,-44.24, 6.12, -4.43, -34.92, -101.85, 985.49;
28,-44.19, 6.11, -4.43, -34.92, -97.48, 983.07;
36,-44.13, 6.10, -4.44, -32.01, -102.82, 995.68;
44,-44.08, 6.08, -4.44, -30.55, -101.85, 985.01;
52,-44.03, 6.07, -4.44, -32.49, -97.00, 989.86;
60,-43.98, 6.06, -4.44, -32.01, -99.91, 986.46;
68,-43.92, 6.04, -4.44, -35.40, -102.33, 985.01;
76,-43.87, 6.03, -4.44, -33.46, -99.91, 988.40;
84,-43.81, 6.02, -4.44, -31.52, -95.54, 987.92;
92,-43.76, 6.01, -4.44, -34.43, -102.33, 990.83;
99,-43.71, 5.99, -4.44, -27.64, -100.39, 989.86;
107,-43.66, 5.98, -4.44, -28.61, -98.94, 989.37;
115,-43.61, 5.97, -4.44, -32.98, -103.79, 995.68;
123,-43.56, 5.96, -4.44, -33.95, -105.24, 988.40;
131,-43.50, 5.95, -4.44, -28.61, -100.39, 986.46;
139,-43.45, 5.93, -4.44, -26.67, -99.91, 986.95;
147,-43.39, 5.91, -4.44, -23.76, -104.76, 991.80;
155,-43.34, 5.90, -4.44, -27.64, -103.30, 990.83;
163,-43.28, 5.89, -4.44, -32.49, -103.30, 985.01;
170,-43.23, 5.88, -4.45, -27.64, -101.85, 988.40;
178,-43.19, 5.87, -4.45, -37.34, -101.36, 991.80;
186,-43.13, 5.85, -4.46, -30.55, -103.30, 988.40;
194,-43.07, 5.84, -4.46, -31.04, -105.73, 987.92;
202,-43.02, 5.83, -4.48, -30.55, -105.24, 985.01;
210,-42.96, 5.82, -4.48, -31.04, -99.91, 996.65;
218,-42.91, 5.80, -4.49, -27.16, -99.42, 984.04;
